the der
be sein
and und
of von
a ein
in in
to zu
have haben
it es
I ich
that das
for für
you du
with mit
on auf
do tun
say sagen
this dies
they sie
at bei
but aber
we wir
his sein
from von
not nicht
by von
she sie
or oder
as wie
what was
go gehen
their ihr
can können
who wer
get bekommen
if wenn
would würde
her ihre
all alle
my mein
make machen
about über
know wissen
will Wille
as wie
up oben
one eins
time Zeit
there dort
year Jahr
so also
think denken
when wann
which welcher
who wer
me mir
like mögen
out draußen
just gerade
him ihn
into in
more mehr
your dein
way Weg
could könnte
than als
first erste
been gewesen
now jetzt
down unten
find finden
any irgendein
new neu
work Arbeit
part Teil
take nehmen
place Platz
see sehen
need brauchen
last letzte
large groß
become werden
between zwischen
call rufen
theirs ihr
man Mann
day Tag
where wo
thing Sache
here hier
give geben
many viele
most meisten
know kennen
through durch
back zurück
work arbeiten
life Leben
child Kind
own eigen
father Vater
mother Mutter
after nach
need brauchen
mean bedeuten
too auch
under unter
never nie
good gut
tell erzählen
very sehr
set setzen
high hoch
own eigen
play spielen
hold halten
small klein
home Zuhause
read lesen
hand Hand
port Hafen
large groß
big groß
write schreiben
show zeigen
run laufen
move bewegen
live leben
right richtig
child Kind
start starten
grow wachsen
study studieren
learn lernen
buy kaufen
call rufen
keep behalten
start anfangen
talk reden
end Ende
hear hören
stop stoppen
love lieben
help helfen
talk sprechen
begin anfangen
look schauen
start beginnen
give geben
always immer
only nur
happen passieren
write schreiben
create schaffen
speak sprechen
want wollen
open öffnen
write schreiben
eat essen
drink trinken
sleep schlafen
ask fragen
answer antworten
run rennen
live leben
buy kaufen
sell verkaufen
find finden
build bauen
understand verstehen
bring bringen
give geben
change ändern
finish beenden
learn lernen
pay bezahlen
work arbeiten
believe glauben
feel fühlen
receive erhalten
under unter
change ändern
open öffnen
close schließen
win gewinnen
lose verlieren
lose verlieren
open öffnen
close schließen
clear klar
next nächste
few wenige
question Frage
answer Antwort
try versuchen
remember erinnern
write schreiben
read lesen
begin beginnen
speak sprechen
end Ende
begin anfangen
stop anhalten
ask fragen
answer antworten
offer anbieten
search suchen
find finden
win gewinnen
lose verlieren
plan planen
create schaffen
bigger größer
smaller kleiner
important wichtig
small klein
question Frage
answer Antwort
quick schnell
slow langsam
important wichtig
necessary notwendig
necessary notwendig
rich reich
poor arm
happy glücklich
sad traurig
tired müde
easy einfach
hard hart
beautiful schön
ugly hässlich
clean sauber
dirty schmutzig
correct korrekt
wrong falsch
yes ja
no nein
please bitte
thank danke
sorry entschuldigung
goodbye aufWiedersehen
hello hallo
welcome willkommen
excuse Entschuldigung
how wie
what was
where wo
who wer
why warum
when wann
Apple Apfel
Dog Hund
Cat Katze
House Haus
Car Auto
School Schule
Book Buch
Table Tisch
Chair Stuhl
Tree Baum
Flower Blume
Sun Sonne
Moon Mond
Water Wasser
Fire Feuer
Bird Vogel
Fish Fisch
Milk Milch
Bread Brot
Cheese Käse
Meat Fleisch
Egg Ei
Fruit Obst
Vegetable Gemüse
Coffee Kaffee
Tea Tee
Sugar Zucker
Salt Salz
Pepper Pfeffer
Knife Messer
Fork Gabel
Spoon Löffel
Plate Teller
Cup Tasse
Glass Glas
Window Fenster
Door Tür
Wall Wand
Floor Boden
Ceiling Decke
Bed Bett
Pillow Kissen
Blanket Decke
Sheet Laken
Towel Handtuch
Soap Seife
Toothbrush Zahnbürste
Comb Kamm
Mirror Spiegel
Light Licht
Dark Dunkel
Cold Kalt
Hot Heiß
Warm Warm
Summer Sommer
Winter Winter
Spring Frühling
Autumn Herbst
Day Tag
Night Nacht
Morning Morgen
Evening Abend
Afternoon Nachmittag
Hour Stunde
Minute Minute
Second Sekunde
Week Woche
Month Monat
Year Jahr
Time Zeit
Yesterday Gestern
Today Heute
Tomorrow Morgen
Now Jetzt
Later Später
Always Immer
Never Nie
Sometimes Manchmal
Often Oft
Rarely Selten
Happy Glücklich
Sad Traurig
Angry Wütend
Excited Aufgeregt
Bored Langweilig
Nervous Nervös
Tired Müde
Sleepy Schläfrig
Hungry Hungrig
Thirsty Durstig
Healthy Gesund
Sick Krank
Strong Stark
Weak Schwach
Tall Groß
Short Kurz
Big Groß
Small Klein
Heavy Schwer
Light Leicht
Beautiful Schön
Ugly Hässlich
Good Gut
Bad Schlecht
Right Richtig
Wrong Falsch
Easy Einfach
Difficult Schwierig
Fast Schnell
Slow Langsam
Expensive Teuer
Cheap Billig
Rich Reich
Poor Arm
Clean Sauber
Dirty Schmutzig
New Neu
Old Alt
Young Jung
Old Alt
Friend Freund
Family Familie
Love Liebe
Hate Hass
Peace Frieden
War Krieg
City Stadt
Village Dorf
Country Land
Ocean Ozean
River Fluss
Mountain Berg
Valley Tal
Forest Wald
Desert Wüste
Island Insel
Sea Meer
Sky Himmel
Cloud Wolke
Rain Regen
Snow Schnee
Wind Wind
Storm Sturm
Temperature Temperatur
Climate Klima
Season Saison
Distance Entfernung
Speed Geschwindigkeit
Height Höhe
Weight Gewicht
