the le
be être
and et
of de
a un
in dans
to à
have avoir
it il
I je
that ça
for pour
you vous
with avec
on sur
do faire
say dire
this ceci
they ils
at à
but mais
we nous
his son
from de
not pas
by par
she elle
or ou
as comme
what quoi
go aller
their leur
can pouvoir
who qui
get obtenir
if si
would voudrais
her elle
all tout
my mon
make faire
about à propos de
know savoir
will volonté
as comme
up haut
one un
time temps
there là
year an
so donc
think penser
when quand
which lequel
who qui
me me
like aimer
out dehors
just juste
him lui
into dans
more plus
your votre
way chemin
could pourrait
than que
first premier
been été
now maintenant
down bas
find trouver
any n'importe quel
new nouveau
work travail
part partie
take prendre
place endroit
see voir
need besoin
last dernier
large grand
become devenir
between entre
call appeler
theirs leur
man homme
day jour
where où
thing chose
here ici
give donner
many nombreux
most la plupart
know connaître
through à travers
back dos
work travailler
life vie
child enfant
own propre
father père
mother mère
after après
need besoin
mean signifier
too aussi
under sous
never jamais
good bon
tell dire
very très
set définir
high élevé
own propre
play jouer
hold tenir
small petit
home maison
read lire
hand main
port port
large grand
big grand
write écrire
show montrer
run courir
move déplacer
live vivre
right droit
child enfant
start commencer
grow grandir
study étudier
learn apprendre
buy acheter
call appeler
keep garder
start commencer
talk parler
end fin
hear entendre
stop arrêter
love aimer
help aider
talk parler
begin commencer
look regarder
start commencer
give donner
always toujours
only seulement
happen arriver
write écrire
create créer
speak parler
want vouloir
open ouvrir
write écrire
eat manger
drink boire
sleep dormir
ask demander
answer répondre
run courir
live vivre
buy acheter
sell vendre
find trouver
build construire
understand comprendre
bring apporter
give donner
change changer
finish finir
learn apprendre
pay payer
work travailler
believe croire
feel ressentir
receive recevoir
under sous
change changer
open ouvrir
close fermer
win gagner
lose perdre
lose perdre
open ouvrir
close fermer
clear clair
next suivant
few quelques
question question
answer réponse
try essayer
remember se souvenir
write écrire
read lire
begin commencer
speak parler
end fin
begin commencer
stop arrêter
ask demander
answer répondre
offer offrir
search chercher
find trouver
win gagner
lose perdre
plan planifier
create créer
bigger plus grand
smaller plus petit
important important
small petit
question question
answer réponse
quick rapide
slow lent
important important
necessary nécessaire
necessary nécessaire
rich riche
poor pauvre
happy heureux
sad triste
tired fatigué
easy facile
hard difficile
beautiful beau
ugly laid
clean propre
dirty sale
correct correct
wrong incorrect
yes oui
no non
please s'il vous plaît
thank you merci
sorry désolé
goodbye au revoir
hello bonjour
welcome bienvenue
excuse me excusez-moi
how comment
what quoi
where où
who qui
why pourquoi
when quand
